id,status,reported,modified,component,version,platform,importance,flags,cc_list,comments,url,category,reporter,depends,blocks,attempts,loc_per_attempt,reopened
916395,RESOLVED INVALID,2013-09-13 19:25,2013-10-24 02:56,General,unspecified,ARM Gonk (Firefox OS),P1 normal,,3,4,https://bugzilla.mozilla.org/show_bug.cgi?id=916395,,lecky,0,0,0,0,0
916418,NEW,2013-09-14 00:22,2013-12-11 01:31,Gaia::System,unspecified,All All,P2 normal,,3,4,https://bugzilla.mozilla.org/show_bug.cgi?id=916418,,sync-1,0,0,0,0,0
917378,RESOLVED FIXED,2013-09-17 09:33,2013-10-15 13:46,General,unspecified,x86_64 Linux,-- normal,,3,2,https://bugzilla.mozilla.org/show_bug.cgi?id=917378,,Jon Hylands [:jhylands],0,1,0,0,0
918944,NEW,2013-09-20 11:49,2013-11-01 09:59,Vendcom,unspecified,ARM Gonk (Firefox OS),-- normal,,12,39,https://bugzilla.mozilla.org/show_bug.cgi?id=918944,,ktucker,0,0,0,0,0
919903,NEW,2013-09-24 00:36,2014-06-20 05:57,Gaia::System::Lockscreen,unspecified,ARM Gonk (Firefox OS),P3 normal,,2,3,https://bugzilla.mozilla.org/show_bug.cgi?id=919903,,Al Tsai [:atsai],0,0,0,0,0
921679,NEW,2013-09-27 16:56,2013-09-27 17:00,Gaia::Settings,unspecified,ARM Gonk (Firefox OS),-- normal,,0,1,https://bugzilla.mozilla.org/show_bug.cgi?id=921679,,ktucker,0,0,0,0,0
923398,NEW,2013-10-03 01:57,2013-11-27 23:49,General,unspecified,x86_64 Linux,-- normal,,2,0,https://bugzilla.mozilla.org/show_bug.cgi?id=923398,,Borting Chen [:borting],1,0,0,0,0
923444,RESOLVED FIXED,2013-10-03 07:14,2014-05-26 12:04,Gaia::System,unspecified,ARM Gonk (Firefox OS),P1 normal,blocking-b2g: backlog feature-b2g: 2.0,16,28,https://bugzilla.mozilla.org/show_bug.cgi?id=923444,,Marcelino Veiga Tuimil [:sonmarce],1,1,0,0,0
923446,RESOLVED FIXED,2013-10-03 07:18,2014-05-30 14:01,Gaia::System,unspecified,ARM Gonk (Firefox OS),P1 normal,blocking-b2g: backlog feature-b2g: 2.0,5,6,https://bugzilla.mozilla.org/show_bug.cgi?id=923446,,Marcelino Veiga Tuimil [:sonmarce],1,1,0,0,0
924313,UNCONFIRMED,2013-10-08 00:54,2014-02-11 19:21,Gaia::System,unspecified,All All,P2 major,,6,10,https://bugzilla.mozilla.org/show_bug.cgi?id=924313,,lecky,0,1,0,0,0
926215,REOPENED,2013-10-13 12:14,2014-05-12 05:31,General,unspecified,ARM Gonk (Firefox OS),P3 major,,7,12,https://bugzilla.mozilla.org/show_bug.cgi?id=926215,,Martijn Wargers [:mwargers] (QA),1,0,0,0,1
926836,RESOLVED FIXED,2013-10-15 02:33,2013-11-05 04:59,Gaia::System,unspecified,All All,-- normal,blocking-b2g: koi+,2,6,https://bugzilla.mozilla.org/show_bug.cgi?id=926836,,John Chang,1,0,0,0,0
928788,RESOLVED INVALID,2013-10-20 22:10,2013-10-21 06:40,General,unspecified,ARM Linux,P1 blocker,blocking-b2g: hd?,4,5,https://bugzilla.mozilla.org/show_bug.cgi?id=928788,,lecky,0,0,0,0,0
932698,NEW,2013-10-30 02:01,2014-06-23 11:52,General,unspecified,ARM Gonk (Firefox OS),-- normal,,2,3,https://bugzilla.mozilla.org/show_bug.cgi?id=932698,,Marco Chen [:mchen] (Workshop with Partner 6/16 ~ 6/20),0,0,1,107,0
932779,RESOLVED WONTFIX,2013-10-30 06:49,2013-11-06 00:44,NFC,unspecified,ARM Gonk (Firefox OS),-- normal,,3,4,https://bugzilla.mozilla.org/show_bug.cgi?id=932779,,Thomas Zimmermann [:tzimmermann] [:tdz],1,1,0,0,0
934424,UNCONFIRMED,2013-11-04 04:55,2014-01-01 22:50,Vendcom,unspecified,ARM Gonk (Firefox OS),P1 blocker,,7,51,https://bugzilla.mozilla.org/show_bug.cgi?id=934424,,lecky,0,0,1,22,0
936383,RESOLVED INVALID,2013-11-08 00:41,2014-03-26 19:17,Gaia::Settings,unspecified,ARM Gonk (Firefox OS),-- normal,blocking-b2g: hd+,4,5,https://bugzilla.mozilla.org/show_bug.cgi?id=936383,,William Hsu [:whsu],0,0,0,0,0
937288,UNCONFIRMED,2013-11-11 12:43,2014-06-20 05:57,Gaia::System::Lockscreen,unspecified,All All,-- normal,,4,3,https://bugzilla.mozilla.org/show_bug.cgi?id=937288,,debian,0,0,0,0,0
937394,RESOLVED FIXED,2013-11-11 15:53,2013-12-17 09:18,General,unspecified,ARM Gonk (Firefox OS),-- normal,blocking-b2g: koi+,16,40,https://bugzilla.mozilla.org/show_bug.cgi?id=937394,,Naoki Hirata :nhirata (please use needinfo instead of cc),1,1,0,0,0
938208,RESOLVED FIXED,2013-11-13 09:20,2013-12-04 12:37,Gaia::UI Tests,unspecified,Other Gonk (Firefox OS),P4 normal,,6,15,https://bugzilla.mozilla.org/show_bug.cgi?id=938208,,Zac C (:zac),0,0,0,0,0
939488,NEW,2013-11-16 21:56,2013-11-21 07:08,Gaia::System,unspecified,x86 Mac OS X,-- normal,,3,6,https://bugzilla.mozilla.org/show_bug.cgi?id=939488,,Benoit Girard (:BenWa) (Off until June 30th),0,0,0,0,0
940655,RESOLVED FIXED,2013-11-19 13:18,2013-12-09 11:26,General,unspecified,ARM Gonk (Firefox OS),P2 normal,,3,2,https://bugzilla.mozilla.org/show_bug.cgi?id=940655,,Dave Huseby [:huseby],0,1,0,0,0
940658,RESOLVED FIXED,2013-11-19 13:21,2013-12-09 11:26,General,unspecified,ARM Gonk (Firefox OS),P2 normal,,2,1,https://bugzilla.mozilla.org/show_bug.cgi?id=940658,,Dave Huseby [:huseby],0,1,0,0,0
940661,RESOLVED FIXED,2013-11-19 13:24,2013-12-09 11:53,General,unspecified,ARM Gonk (Firefox OS),P2 normal,,3,2,https://bugzilla.mozilla.org/show_bug.cgi?id=940661,,Dave Huseby [:huseby],0,1,0,0,0
940865,UNCONFIRMED,2013-11-19 23:12,2013-12-11 01:30,General,unspecified,ARM Gonk (Firefox OS),P1 blocker,,4,2,https://bugzilla.mozilla.org/show_bug.cgi?id=940865,,lecky,0,0,0,0,0
941552,RESOLVED FIXED,2013-11-21 03:09,2013-11-22 02:33,Gaia::System,unspecified,ARM Gonk (Firefox OS),-- normal,blocking-b2g: 1.3+,3,6,https://bugzilla.mozilla.org/show_bug.cgi?id=941552,,Eric Chang [:ericcc] [:echang],0,1,0,0,0
942967,RESOLVED DUPLICATE of,2013-11-25 11:26,2013-11-25 19:13,Hardware,unspecified,x86 Mac OS X,-- normal,,6,3,https://bugzilla.mozilla.org/show_bug.cgi?id=942967,,Dietrich Ayala (:dietrich),0,0,0,0,0
943313,RESOLVED FIXED,2013-11-26 03:38,2013-11-29 01:39,Gaia::UI Tests,unspecified,ARM Gonk (Firefox OS),P1 major,,6,5,https://bugzilla.mozilla.org/show_bug.cgi?id=943313,,Dave Hunt (:davehunt),0,0,0,0,0
943780,RESOLVED FIXED,2013-11-27 00:47,2013-11-28 00:13,Gaia::System,unspecified,ARM Gonk (Firefox OS),-- normal,blocking-b2g: 1.3+,4,8,https://bugzilla.mozilla.org/show_bug.cgi?id=943780,,Eric Chang [:ericcc] [:echang],0,0,0,0,0
944216,RESOLVED INVALID,2013-11-27 18:40,2013-12-01 19:20,Gaia::System,unspecified,All All,-- normal,,1,0,https://bugzilla.mozilla.org/show_bug.cgi?id=944216,,lecky,0,0,0,0,0
945146,UNCONFIRMED,2013-12-02 00:14,2013-12-15 22:53,General,unspecified,All All,-- normal,,4,3,https://bugzilla.mozilla.org/show_bug.cgi?id=945146,,lecky,0,0,0,0,0
